County	County / Sector (NAICS)	Natural gas	Net electricity	Diesel	Other	LPG NGL	Residual fuel oil	Coal	Coke and breeze
Wayne	3272. Glass and Glass Product Manufacturing	138,790	45,403	2,328	4,523	2,980	0	8,882	0
Wayne	3323. Architectural and Structural Metals Manufacturing	6,298	5,311	500	8	316	0	0	0
Wayne	3324. Boiler, Tank, and Shipping Container Manufacturing	16,745	15,158	456	52	609	0	0	0
Wayne	3325. Hardware Manufacturing	268	255	37	1	20	0	0	0
Wayne	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	8,043	7,644	1,119	18	607	0	0	0
Wayne	3328. Coating, Engraving, Heat Treating, and Allied Activities	1,072	1,019	149	2	81	0	0	0
Wayne	3329. Other Fabricated Metal Product Manufacturing	804	764	112	2	61	0	0	0
Wayne	3331. Agriculture, Construction, and Mining Machinery Manufacturing	294	442	97	2	53	0	0	0
Wayne	3332. Industrial Machinery Manufacturing	3,594	4,582	496	8	351	0	0	0
Wayne	3333. Commercial and Service Industry Machinery Manufacturing	294	442	97	2	53	0	0	0
Wayne	3334. Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	3,007	3,698	302	5	245	0	0	0
Wayne	3335. Metalworking Machinery Manufacturing	1,175	1,769	388	6	211	0	0	0
Wayne	3339. Other General Purpose Machinery Manufacturing	4,182	5,467	690	11	456	0	0	0
Wayne	3359. Other Electrical Equipment and Component Manufacturing	17,504	26,295	170	157	211	0	0	6
Wayne	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	1,192	1,173	101	271	82	0	0	0
Wayne	3372. Office Furniture (including Fixtures) Manufacturing	140	169	39	105	21	0	0	0
Wayne	3399. Other Miscellaneous Manufacturing	78,914	76,235	922	15,622	301	3,221	0	0
Wyoming	1111. Oilseed and Grain Farming	0	7,010	18,661	6,588	8,438	5,200	0	0
Wyoming	1112. Vegetable and Melon Farming	0	2,746	3,525	1,244	1,594	982	0	0
Wyoming	1113. Fruit and Tree Nut Farming	0	1,376	1,433	506	648	399	0	0
Wyoming	1114. Greenhouse, Nursery, and Floriculture Production	0	5,318	8,287	2,925	3,747	2,309	0	0
Wyoming	1119. Other Crop Farming	0	8,100	12,049	4,254	5,449	3,358	0	0
Wyoming	1121. Cattle Ranching and Farming	0	69,237	93,040	32,846	42,072	25,925	0	0
Wyoming	1122. Hog and Pig Farming	0	402	460	162	208	128	0	0
Wyoming	1123. Poultry and Egg Production	0	2,058	1,398	494	632	390	0	0
Wyoming	1124. Sheep and Goat Farming	0	915	870	307	393	242	0	0
